"sentence","src_label","tgt_label","link_type"
" Sisulu launched a short-lived campaign to succeed Jacob Zuma as ANC president in July 2017, ahead of the watershed conference at the Nasrec exhibition centre that saw Cyril Ramaphosa elected by a narrow margin in December that year.","Cyril Ramaphosa","Jacob Zuma","ASSOCIATE"
" On 19 March last year she resigned as the chief executive of Trillian Management Consulting, the consulting subsidiary of Trillian Capital Partners, then controlled by Gupta lieutenant Salim Essa.","Salim Essa","Trillian Capital Partners","MANAGER"
" After months of denials, Eskom finally admitted in July that it paid fees of R1.6-billion to consulting multinational McKinsey and Trillian Capital Partners, the local advisory firm until recently controlled by Gupta lieutenant Salim Essa.","Trillian Capital Partners","Eskom","INDIRECT"
" The amaBhungane Centre for Investigative Journalism and its founding partner, journalist Sam Sole, are challenging the constitutionality of sections of Rica.","Sam Sole","amaBhungane Centre for Investigative Journalism","MANAGER"
" After months of denials, Eskom finally admitted in July that it paid fees of R1.6-billion to consulting multinational McKinsey and Trillian Capital Partners, the local advisory firm until recently controlled by Gupta lieutenant Salim Essa.","Salim Essa","Trillian Capital Partners","MANAGER"
" McKinsey’s version of events, often repeated in recent weeks, is that it initially planned to partner with Regiments Capital, another black-owned firm, but that when senior partner Eric Wood decided to split from Regiments to form Trillian, McKinsey “inherited” Trillian.","Eric Wood","Regiments Capital","MANAGER"
" The CV was then forwarded to an employee of the Guptas’ Sahara Computers and Duduzane Zuma – President Jacob Zuma’s son and a business partner of the Guptas.","Jacob Zuma","Guptas","ASSOCIATE"
"The Guptas are close to President Jacob Zuma and his family.","Jacob Zuma","Guptas","ASSOCIATE"
" In 2012, Moodley introduced the chief executive of Regiments Capital, a then up-and-coming black-owned financial and advisory group, to an as-yet-unknown hustler: Salim Essa.","Regiments Capital","Salim Essa","BUSINESS"
" We rang the alarm bells in 2014, when a dubious PIC process unfolded to enrich a friend of then-president Jacob Zuma and the ANC.","Jacob Zuma","ANC","EMPLOYEE"
" We rang the alarm bells in 2014, when a dubious PIC process unfolded to enrich a friend of then-president Jacob Zuma and the ANC.","Jacob Zuma","ANC","MANAGER"
" Former police chief Jackie Selebi admitted on Tuesday that he used his position to declassify a document for drug dealer Glenn Agliotti.","Jackie Selebi","Glenn Agliotti","ANTAGONIST"
" Ramaphosa emerged victorious in December 2017 after a close-fought campaign to succeed Jacob Zuma as ANC leader, narrowly defeating Zuma’s ex-wife, Nkosazana Dlamini-Zuma.","Jacob Zuma","ANC","EMPLOYEE"
" Ramaphosa emerged victorious in December 2017 after a close-fought campaign to succeed Jacob Zuma as ANC leader, narrowly defeating Zuma’s ex-wife, Nkosazana Dlamini-Zuma.","Jacob Zuma","ANC","MANAGER"
" The state has accused former police boss Jackie Selebi of changing his evidence to distance himself from drug lord Glenn Agliotti.","Jackie Selebi","Glenn Agliotti","ANTAGONIST"
" For further comment please contact: Sam Sole – 082 4188944 Stefaans Brümmer – 083 2747438 Karabo Rajuili – 082 3656553","Sam Sole","Stefaans Brümmer","ASSOCIATE"
" The amaBhungane Centre for Investigative Journalism filed this challenge after learning that state spies had been recording journalist Sam Sole’s phone communication for (at least) six months in 2008 during the ‘Spy Tapes’ era.","Sam Sole","amaBhungane Centre for Investigative Journalism","MANAGER"
" President Jacob Zuma and the ANC appear to be conflicted as complex relationships between President Zuma and King Mswati’s clique emerge.","Jacob Zuma","ANC","EMPLOYEE"
" President Jacob Zuma and the ANC appear to be conflicted as complex relationships between President Zuma and King Mswati’s clique emerge.","Jacob Zuma","ANC","MANAGER"
" * The amaBhungane Centre for Investigative Journalism and Sam Sole, its managing partner, were the applicants in the matter.","Sam Sole","amaBhungane Centre for Investigative Journalism","MANAGER"
"We have no business or other relationship with the Guptas, your president Jacob Zuma or his family.”","Jacob Zuma","Guptas","ASSOCIATE"
" Former police chief Jackie Selebi was accused of taking $2 500 from drug-dealer Glenn Agliotti at OR Tambo airport in 2005.","Jackie Selebi","Glenn Agliotti","ANTAGONIST"
"There are material differences between this case and that seeking bank records of the CR17 campaign The Economic Freedom Fighters (EFF) applied last year to the High Court to overturn a court order sealing a Financial Intelligence Centre (FIC) report referred to in the public protector’s report into Cyril Ramaphosa’s campaign for election as ANC President.","Economic Freedom Fighters","ANC","ANTAGONIST"
"There are material differences between this case and that seeking bank records of the CR17 campaign The Economic Freedom Fighters (EFF) applied last year to the High Court to overturn a court order sealing a Financial Intelligence Centre (FIC) report referred to in the public protector’s report into Cyril Ramaphosa’s campaign for election as ANC President.","EFF","ANC","ANTAGONIST"
"Locally, he cosied up to presidents Thabo Mbeki and Jacob Zuma.","Jacob Zuma","Thabo Mbeki","ASSOCIATE"
" Prosecutor Gerrie Nel on Thursday morning accused former police National Commissioner Jackie Selebi of fabricating a declassified document.","Jackie Selebi","Gerrie Nel","ANTAGONIST"
" While the struggling company faces liquidation, its troubled mines may yet be bailed out The squeeze on Glenn Agliotti — key witness against Jackie Selebi and lone defendant in the Brett Kebble murder trial — is far from over.","Jackie Selebi","Glenn Agliotti","ANTAGONIST"
" Former police chief Jackie Selebi is pinning his hopes of staying out of jail on a criminal probe into Glenn Agliotti’s tax affairs.","Jackie Selebi","Glenn Agliotti","ANTAGONIST"
" Instead, the NPA pursued spurious criminal charges laid by Maharaj against then M&G editor Nic Dawes and reporters Sam Sole and Stefaans Brümmer for being in possession of the section 28 documents.","Sam Sole","Stefaans Brümmer","ASSOCIATE"
"SKG’s directors included one Soo Young Jeon, a former associate of Tony Gupta who had left South Africa to help set up the Guptas’ Dubai operations.","Guptas","Tony Gupta","FAMILY"
" 17 July 2017 #GuptaLeaks: Sacked CSA chief Gerald Majola had cosy relationship with Guptas 21 July 2017 How Gupta associates ‘fleeced’ Cosatu in HQ deal 21 July 2017 Eskom admits lying on Trillian 22 July 2017 gupta-leaks.com: Everything you ever need to know about #GuptaLeaks in one place 24 July 2017 #GuptaLeaks: Gupta spin machine commissioned BLF’s Mngxitama 25 July 2017 #GuptaLeaks: Another software giant implicated in ‘kickback’ payments 26 July 2017 #GuptaLeaks: Indian IT guru linked to fake WMC sites 27 July 2017 #GuptaLeaks: Let’s hear it for the good guys 28 July 2017 #GuptaLeaks: Top Zuma bodyguard in kickback scandal 2 August 2017 #Guptaleaks: How the family encircled Lynne Brown 3 August 2017 #GuptaLeaks: How the Canadian government helped the Guptas buy their private jet 8 August 2017 #GuptaLeaks: How the Guptas paid for Zuma home 9 August 2017 Why you should care about the #GuptaLeaks — an international view 9 August 2017 The woman who blew the whistle 11 August 2017 #GuptaLeaks: How Ajay Gupta was trusted with crafting SA’s global image 14 August 2017 EXCLUSIVE #GuptaLeaks: Guptas’ blue lights mystery solved 23 August 2017 #GuptaLeaks: Questions surround Guptas’ minimal tax returns 23 August 2017 #GuptaLeaks: Tegeta buyer ‘hid’ Gupta assets before 6 September 2017 #GuptaLeaks: How Anoj Singh sang for his supper 14 September 2017 The McKinsey dossier part 1 – how McKinsey and Trillian ripped R1.6bn from Eskom 18 September 2017 #GuptaLeaks: A third Gupta-Transnet ‘kickback’ contract unearthed 27 September 2017 Whistleblower: How Trillian scored big by connecting officials and consultants 3 October 2017 The McKinsey dossier part 2 – contract to pay McKinsey and Trillian R1.6-bn ‘invalid’ 6 October 2017 The McKinsey dossier part 3 – Eskom tells McKinsey and Trillian to #PayBackTheMoney 8 October 2017 The Trillian playbook: How Oliver Wyman nearly got ensnared 11 October 2017 The McKinsey dossier part 4 – bending over backwards for Trillian 23 October 2017 The McKinsey dossier, part 5 – how Transnet cash stuffed Gupta letterboxes 25 October 2017 The McKinsey dossier part 6 – five strikes and you’re IN 10 November 2017 #GuptaLeaks released to journalists worldwide 14 November 2017 Exclusive: Gupta ‘negotiator’ and the R4bn Transnet IT deal 24 November 2017 #GuptaLeaks: How MultiChoice paid the Guptas millions 26 November 2017 #GuptaLeaks: KPMG missed more money laundering red flags 1 December 2017 #GuptaLeaks: How family hijacked (and then lost) a Lesotho diamond mine 13 December 2017 #GuptaLeaks: A tale of two captures – Alexkor, Gupta Inc and ‘WMC’ 15 December 2017 #GuptaLeaks: The confidence game 2016 5 February 2016 Guptas conquer state arms firm Denel 5 February 2016 Gupta ties are Zuma’s undoing 19 February 2016 Zuma Jnr hits the big time with Optimum deal 18 March 2016 The president who tossed away the rule book 24 March 2016 The ‘Gupta owned’ state enterprises 24 March 2016 Evidence of state capture mounts 1 May 2016 Guptas “backed” Maine’s R140k-a-month bond 15 May 2016 Guptas sue for 27.5% of Independent Media 30 May 2016 How Denel was hijacked 6 June 2016 Guptas’ media bid rebuffed 28 August 2016 Gupta-linked firm’s R167m Transnet Bonanza 30 August 2016 Tegeta coal quality hopelessly noncompliant, says report 18 September 2016 Transnet’s shady Gupta loan deal 19 June 2016 Guptas’ R51bn train grab 24 July 2016 Gupta-linked company set to score R800-million in Transnet IT solution tender deal 01 Sep 2016 Treasury blocks Eskom’s Tegeta contract 19 September 2016 Questions over new Denel partner 21 October 2016 R587m in six hours – how Eskom paid for Gupta mine 15 October 2016 Gordhan blows whistle on Guptas’ R6.8bn ‘suspicious and unusual payments’ 29 October 2016 State Capture – The Guptas and the R250 million “kickback laundry” 3 November 2016 Zwane and his new appointment go way back 4 November 2016 State approved Guptas’ raid on mine rehab fund 8 December 2016 From Zuma Inc to the Zuptas – a story of perseverance 8 December 2016 Video: amaBhungane explain the explosive Gupta money-laundering allegations 8 December 2016 Analysis by Sam Sole: Zuma’s treasonous alliance with the Guptas 8 December 2016 Exclusive: Guptas “Laundered” kickback millions – here’s the evidence 2015 31 July 2015 – ‘Kickback’ scandal engulfs Transnet 24 September 2015 Gupta past haunts new mines minister 23 October 2015 State fumes as Sascoc steals its ball 20 November 2015 Gupta Inc’s Dubai secret 20 November 2015 Zuma’s ‘deal’ with Cape gang bosses 20 November 2015 Editorial: Zuma gangs up on democracy 2014 7 February 2014 Free State dairy project damned in treasury investigation 14 February 2014 Cow heap attracts Blue Scorpions 5 June 2014 Estina’s cows come home to roost 20 June 2014 State adviser’s R5m Gupta house 4 July 2014 Transnet tender boss’s R50-billion double game 29 August 2014 Ombudsman rejects Transnet tender boss’s complaint 24 October 2014 Row over Eskom’s R43m Gupta breakfast deal 24 October 2014 SAA’s boundless flights of fancy 24 October 2014 Editorial: Nene hobbled by old tusker 28 November 2014 Auditors rap Eskom Gupta splurge 28 November 2014 Editorial: Eskom hand-out gets red card 5 December 2014 Another state bonanza for the Guptas 19 December 2014 Editorial: Yet another state body under threat 2013 25 January 2013 Parastatals squeezed over New Age 22 March 2013 R10-billion contract behind SAA dogfight 21 May 2013 ‘Guptas’ farm cash cows in Free State 7 June 2013 “Gupta” dairy project milks Free State project 14 June 2013 “Gupta” dairy flouts treasury rules 12 December 2013 Concourt puts Sishen mining right dispute to bed 2012 30 November 2012 Guptas ‘bankroll’ Mrs Zuma’s bond 2011 5 February 2011 Steel of a deal for Zuma Jnr 4 March 2011 Going off the rails 4 March 2011 Striking Gupta workers held 18 March 2011 Plum Gupta job for Zuma fiancée 1 April 2011 Veterans official in private deals 29 July 2011 All the president’s assets 29 July 2011 Sishen row: Hawks’ raids rattle top politicos 16 August 2011 Kumba launches broadside against Imperial’s prospects 9 September 2011 Row over “unpaid” bills at Gupta family’s mine 21 October 2011 Erwin’s company lands tender-free coal deal 15 December 2011 Sishen rivals braced for verdict 2010 19 March 2010 Keeping it in the family 14 May 2010 Zuma “meddled in mine buyout” 13 August 2010 Zuma Jnr heading for first billion 20 August 2010 Guptas key to ArcelorMittal deal 29 October 2010 Govt to apply ideology to adspend 26 November 2010 Sishen row: Govt targets steel prices","Guptas","Ajay Gupta","FAMILY"
" The puppet-master’s ploy worked well for Vladimir Putin in Russia, where Dmitry Medvedev kept the president’s seat warm for him.","Vladimir Putin","Dmitry Medvedev","ASSOCIATE"
" The puppet-master’s ploy worked well for Vladimir Putin in Russia, where Dmitry Medvedev kept the president’s seat warm for him.","Vladimir Putin","Russia","MANAGER"
" Alexander is wanted in the US on 35 counts emanating from a stocks-option backdating scheme he allegedly ran at a New York firm he founded in 1986, Comverse Technology.","New York","US","WITHIN"
" Angering Khama, the new leader sacked two of his long-time allies; the country’s head of intelligence, retired colonel Isaac Kgosi, and Roy Blackbeard, Botswana’s High Commissioner to the United Kingdom, who had been in London for 20 years.","London","United Kingdom","WITHIN"
" Two weeks later, the CSR vice president, Tony Gupta and Essa, the Guptas’ partner, travelled together on a chartered flight in India.","Guptas","Tony Gupta","FAMILY"
" The amaBhungane Centre for Investigative Journalism and its founding partner, journalist Sam Sole, are challenging the constitutionality of sections of Rica.","Sam Sole","amaBhungane Centre for Investigative Journalism","MANAGER"
"Previous recipients include President Jacob Zuma, former presidents Nelson Mandela, FW de Klerk and Thabo Mbeki and Hollywood star Charlize Theron and #FeesMustFall.","Jacob Zuma","Nelson Mandela","ASSOCIATE"
"Previous recipients include President Jacob Zuma, former presidents Nelson Mandela, FW de Klerk and Thabo Mbeki and Hollywood star Charlize Theron and #FeesMustFall.","Jacob Zuma","Thabo Mbeki","ASSOCIATE"
" The amaBhungane Centre for Investigative Journalism is a non-profit company founded in 2010 by Sam Sole and Stefaans Brümmer.","Sam Sole","Stefaans Brümmer","ASSOCIATE"
" The amaBhungane Centre for Investigative Journalism is a non-profit company founded in 2010 by Sam Sole and Stefaans Brümmer.","Sam Sole","amaBhungane Centre for Investigative Journalism","MANAGER"
" It was well known from 2010 that the Guptas courted, employed and financially assisted President Jacob Zuma’s family.","Jacob Zuma","Guptas","ASSOCIATE"
" In her statement to the public protector she alleges: “On 26th October 2015, I was informed by my direct line manager, Eric Wood at Regiments Capital that the president of the Republic of South Africa was going to replace the finance minister: Nhlanhla Nene.","Eric Wood","Regiments Capital","MANAGER"
" * The amaBhungane Centre for Investigative Journalism and Sam Sole, its managing partner, were the applicants in the matter.","Sam Sole","amaBhungane Centre for Investigative Journalism","MANAGER"
" The Guptas are friends with president Jacob Zuma and kept Zuma’s son on their payroll.","Jacob Zuma","Guptas","ASSOCIATE"
" In 2015, as the Guptas were assembling their partnership with Denel and Adani, Lodha reviewed an Adani Enterprises contract within the Denel India structure and emailed comments to Tony Gupta.","Guptas","Tony Gupta","FAMILY"
" By 5 August the emails show Mantsha was listed to join Tony Gupta and others on a flight from Johannesburg to Mumbai aboard the Guptas’ private jet ZS-OAK.","Guptas","Tony Gupta","FAMILY"
" Read the full NPA statement *Stefaans Brümmer, Adriaan Basson, Sam Sole and Jackie Mapiloko contributed to this article.","Sam Sole","Stefaans Brümmer","ASSOCIATE"
" Much like the Guptas and President Jacob Zuma in South Africa, commentators link the rise of Adani’s business empire to the political rise of Modi, starting in the early 2000s when Adani supported Modi when he was politically weak.","Jacob Zuma","Guptas","ASSOCIATE"
" That made us unpopular with the ANC’s Geoff Makhubo and Mzwandile Masina, the DA’s Herman Mashaba and with the EFF as a whole (hence the ban on our attendance).","EFF","ANC","ANTAGONIST"
" - Adriaan Basson, Jackie Mapiloko, Ilham Rawoot, Mahlatse Gallens, Stefaans Brümmer and Sam Sole contributed to this story.","Sam Sole","Stefaans Brümmer","ASSOCIATE"
" Trillian Capital Partners, the group holding company, is 60% owned by Salim Essa, whom Budlender described as “very closely associated with the Gupta family”.","Salim Essa","Trillian Capital Partners","MANAGER"
" Two days later, Essa forwarded the same documents to Eric Wood, at the time a director of Regiments Capital and Transnet’s advisor on the 1064 locomotive deal.","Eric Wood","Regiments Capital","MANAGER"
" Mogano can be linked to the Guptas since at least February 2009, when company registration records show that she became a co-director with Tony Gupta and Zuma’s son Duduzane in Karibu Hospitality.","Guptas","Tony Gupta","FAMILY"
" A source in the presidency told us several years ago that Mogano had also “flirted with” a job offer from the Guptas, a tip-off that appears to be borne out by a June 2011 email from the #GuptaLeaks in which Mogano sends her “comprehensive resume” to Tony Gupta.","Guptas","Tony Gupta","FAMILY"
" The inquiry cleared several ministers the Guptas had interacted with over the proposed landing, and blamed officials for using President Jacob Zuma’s name to clear procedural obstacles. –","Jacob Zuma","Guptas","ASSOCIATE"
" After eight disastrous years of a Jacob Zuma presidency, the Rainbow Nation dream of Nelson Mandela lies in tatters.","Jacob Zuma","Nelson Mandela","ASSOCIATE"
"Stefaans Brümmer, Sam Sole, James Wood, Lloyd Gedye, Lionel Faull, Craig McKune and Phillip de Wet contributed to this story Sweet deals a recurring pattern of state favour Oakbay’s sweetheart loan from the state-owned Industrial Development Corporation (IDC) and the partial conversion of its spiralling debt into an overvalued IDC stake in the company is part of a pattern of the state’s preferential treatment of the Gupta business empire.","Sam Sole","Stefaans Brümmer","ASSOCIATE"
" From at least 2010, the Guptas were attracting media attention for both their close ties to President Jacob Zuma and their apparent taste for the high life.","Jacob Zuma","Guptas","ASSOCIATE"
"In August, a Manhattan judge granted a secret court order giving the Industrial Development Corporation (IDC) access to Gupta financial records held at more than a dozen banks in New York.","Manhattan","New York","WITHIN"
" “Given the abundance of existing evidence that the South African defendants and those acting on their behalf regularly transacted in US Dollars in scenarios in which criminal activity has been credibly alleged, the New York banks will likely reveal presently unknown evidence of activities that would constitute further breaches of the Loan Restructuring Agreement and, in turn, justify the IDC’s decision to terminate the agreement and seek redress in the South African court,” the IDC submitted.","New York","US","WITHIN"
" They have published hundreds of anonymous articles denigrating Deputy President Cyril Ramaphosa, journalists, opposition parties and ANC politicians who have spoken out against the politically-connected Gupta family, President Jacob Zuma or his entourage.","Cyril Ramaphosa","Jacob Zuma","ASSOCIATE"
" They have published hundreds of anonymous articles denigrating Deputy President Cyril Ramaphosa, journalists, opposition parties and ANC politicians who have spoken out against the politically-connected Gupta family, President Jacob Zuma or his entourage.","Jacob Zuma","ANC","EMPLOYEE"
" They have published hundreds of anonymous articles denigrating Deputy President Cyril Ramaphosa, journalists, opposition parties and ANC politicians who have spoken out against the politically-connected Gupta family, President Jacob Zuma or his entourage.","Jacob Zuma","ANC","MANAGER"
" Zuma did, however, declare the sources of three separate gifts acquired during the UK trip as “London, British Royal family”, “Prince of Wales & The Duchess of Cornwall” and “from the City of London Corporation”, raising the question of why the other sources were not clearly stated.","London","UK","WITHIN"
"The EFF, though in de facto coalition with the governing DA, flexed its muscle by gunning for then mayor Solly Msimanga and siding with the ANC in saving Moeketsi Mosola, the then city manager, from being suspended over the irregular appointment of consulting firm GladAfrica.","EFF","ANC","ANTAGONIST"
" The charge of defeating the ends of justice requires the state to prove that Selebi wilfully compromised criminal investigations by sharing secret documents with Agliotti or interfering with legal processes.","Selebi","Agliotti","ANTAGONIST"
"Dakana explained that if this condition was removed, Agliotti would be at risk of fleeing the country following his denial of indemnity in the corruption trial of former police national commissioner Jackie Selebi this week.","Jackie Selebi","Agliotti","ANTAGONIST"
" When asked about these payments, Eskom has consistently repeated the line that “Eskom has no contracts in place with Trillian Capital Partners and/or associated companies.”","Trillian Capital Partners","Eskom","INDIRECT"
" Wood, of course, is the fourth Musketeer of the “Gupta trio”, a director of Regiments Capital who would later take the consulting arm of Regiments across to ICM to begin the formation of Trillian.","Wood","Regiments Capital","MANAGER"
" Instead the deal McKinsey struck with Trillian Capital Partners mocked Eskom’s problems by handing at least R266-million of Eskom’s money to a company that in the words of McKinsey’s own executives’ was merely there to receive 30% of the contract “in return for not much work”.","Trillian Capital Partners","Eskom","INDIRECT"
" In response to the allegation that he knew the Guptas and had been a frequent visitor to their Saxonwold home, Bagus stated: “During my time as CEO of Trade and Investment SA and DDG of DTI, I served on the International Marketing Council (IMC) where I met Mr Ajay Gupta.”","Guptas","Ajay Gupta","FAMILY"
"In South Africa, the company is best known for contributing rail hardware and know-how to the Gautrain, the rapid rail commuter project that links Parktown Station in Johannesburg with Hatfield in Pretoria.","Johannesburg","South Africa","WITHIN"
" In a near perfect Russian fairytale, the manufacturer is said to have teamed up on a $200-million locomotive manufacturing deal with a Kremlin-owned bank on Canada’s sanctions list, and one of Vladimir Putin’s closest cronies.","Vladimir Putin","Kremlin","MANAGER"
" The Canadian lender seemed blind to what even a cursory Google would have revealed: that the Guptas were indeed politically exposed, linked to President Jacob Zuma in a way that the organisation’s own “Reputational Risk Program” apparently considers verboten.","Jacob Zuma","Guptas","ASSOCIATE"
" However, neighbours say that the Pahads continued to live there for a number of years – right through the watershed ANC elective conference in Polokwane in December 2007, Mbeki’s recall from the presidency in September 2008 and Pahad’s subsequent resignation in solidarity with his principal, until shortly after Jacob Zuma became president in May 2009.","Jacob Zuma","ANC","EMPLOYEE"
" However, neighbours say that the Pahads continued to live there for a number of years – right through the watershed ANC elective conference in Polokwane in December 2007, Mbeki’s recall from the presidency in September 2008 and Pahad’s subsequent resignation in solidarity with his principal, until shortly after Jacob Zuma became president in May 2009.","Jacob Zuma","ANC","MANAGER"
"File Photo: GCIS By that time the four-day finance minister Des van Rooyen had been abruptly shifted to the Cogta ministry, along with “advisor” Mohammed Bobat, who was parachuted in from Regiments Capital – yet there is evidence that he was still taking direction from his former boss, Eric Wood, who had now become the chief executive of Trillian.","Eric Wood","Regiments Capital","MANAGER"
" L35 also features in the now infamous Dubai “relocation” letter, drafted by the Guptas for President Jacob Zuma.","Jacob Zuma","Guptas","ASSOCIATE"
"AmaBhungane’s Stefaans Bramber, Sam Sole, Tabelo Timse and Lionel Faull went in search of Homix and answers from Transnet, Neotel, Singh and Narayan.","Sam Sole","AmaBhungane","MANAGER"
"Picture: Paul Botes, M&G Passenger Rail Agency of South Africa (Prasa) chairperson Dr Popo Molefe dropped a bombshell on Friday morning when he claimed that R80-million from a controversial train deal may have found it’s way to the ANC with the help of a close friend of President Jacob Zuma.","Jacob Zuma","ANC","EMPLOYEE"
"Picture: Paul Botes, M&G Passenger Rail Agency of South Africa (Prasa) chairperson Dr Popo Molefe dropped a bombshell on Friday morning when he claimed that R80-million from a controversial train deal may have found it’s way to the ANC with the help of a close friend of President Jacob Zuma.","Jacob Zuma","ANC","MANAGER"
"The Guptas are friends of South African President Jacob Zuma and in business with his son Duduzane.","Jacob Zuma","Guptas","ASSOCIATE"
" The four men accused of plotting the assassination of President Jacob Zuma at the ANC’s elective conference will reappear in court on Friday.","Jacob Zuma","ANC","EMPLOYEE"
" The four men accused of plotting the assassination of President Jacob Zuma at the ANC’s elective conference will reappear in court on Friday.","Jacob Zuma","ANC","MANAGER"
" The terrorist threat at the ANC’s Mangaung conference has been revealed as an alleged assassination attempt on Jacob Zuma and other top leaders.","Jacob Zuma","ANC","EMPLOYEE"
" The terrorist threat at the ANC’s Mangaung conference has been revealed as an alleged assassination attempt on Jacob Zuma and other top leaders.","Jacob Zuma","ANC","MANAGER"
" On Saturday, August 1, 2015 Tony Gupta forwarded an e-mail to Duduzane attaching the “CV of MJ Zwane”, then a Free State MEC already associated with the Guptas via his championing of their controversial Estina dairy project in Vrede.","Guptas","Tony Gupta","FAMILY"
" But in South Africa, the SARB’s actions suggested BoB’s involvement in the “State Capture” scandal: an avalanche of allegations that President Jacob Zuma was under the sway of three brothers from Saharanpur, Uttar Pradesh — Ajay, Atul, and Rajesh Gupta, collectively known as “The Guptas”.","Jacob Zuma","Guptas","ASSOCIATE"
"It is also said the ANC was incensed by the tax deal reached with Malema, now Zuma’s parliamentary tormentor, particularly given the weakness of the criminal case against the Economic Freedom Fighters leader and the likelihood that he will wriggle off that hook.","Economic Freedom Fighters","ANC","ANTAGONIST"
" The bank opened shop in South Africa in 1997 in Durban, another diaspora hub, followed by Johannesburg in 2007.","Johannesburg","South Africa","WITHIN"
" Magashule, a pal of the Guptas and an ally of president Jacob Zuma, said the facility would be able to process 100 000 litres of milk a day – although he did not explain the choice of dairy, considering Vrede is known for beef.","Jacob Zuma","Guptas","ASSOCIATE"
" Now, the EU is threatening to create a new list compiled by the European Commission, and may impose sanctions on states that do not meet international tax and transparency standards.","European Commission","EU","ASSOCIATE"
" The payments – totaling R122-million exactly – came from Albatime, a now defunct company that made its fortune by introducing Salim Essa, the Guptas’ business partner, to Regiments Capital, a financial services firm at the center of state capture allegations.","Regiments Capital","Salim Essa","BUSINESS"
" The team also composed a statement for the MK Veterans Association and suggested the firm might like to add to a statement by ANC North West Chair, Supra Mahumapelo, with regard to EFF leader Julius Malema’s threats to ban ANN7 journalists.","EFF","ANC","ANTAGONIST"
" Unemployment persists”, as well as “the EFF seeks to destroy those who tell good news in the media, and which is in the interests of our country – in particular ANN7 and New Age – these are for the people”, and “ANC respects the people, the markets do not.","EFF","ANC","ANTAGONIST"
" AmaBhungane’s Sam Sole discusses the latest McKinsey dossier revelations with the SABC’s Francis Herd It is said that people in glass houses shouldn’t throw stones.","Sam Sole","AmaBhungane","MANAGER"
" In response to the question “Did the Guptas help President Jacob Zuma’s wife, Bongi Ngema-Zuma, pay off her R3.8-million home loan?”","Jacob Zuma","Guptas","ASSOCIATE"
" One claimed Essa was one of the “Guptas” granted a diplomatic passport by the Lesotho authorities in 2014 – on the advice of President Jacob Zuma.","Jacob Zuma","Guptas","ASSOCIATE"
" Mphego faced a charge of defeating the ends of justice for his alleged intervention to obtain an affidavit from drug dealer Glenn Agliotti in support of former police boss Jackie Selebi.","Jackie Selebi","Glenn Agliotti","ANTAGONIST"
" AmaBhungane has established that in October last year Chanthunya filed papers in the High Court in Johannesburg challenging an order by South Africa’s justice minister, Michael Masutha, that he be surrendered to Malawi.","Johannesburg","South Africa","WITHIN"
" The Guptas are listed as “r/o [resident of] Johannesburg, South Africa” on the wedding invitation.","Johannesburg","South Africa","WITHIN"
